row_type,timestamp_s,elapsed_s,v_real,w_real,brake,x,y,distance_m,heading_error_rad,cross_track_error_m,controller_error,path_index,path_x,path_y
sample,108.56,20.24000000000001,3.7598784016683755,1.3130716082275846,0,0.0,0.0,0.0,0.3490336766936941,0.6984651077613764,0.3492324665725715,,,
sample,108.58,20.260000000000005,3.7182671424768854,1.3036733455475398,0,0.0,0.0,0.0,0.3581334530029606,0.7012264700257376,0.35061314735958193,,,
sample,108.6,20.28,3.6891392610428424,1.2934607273620333,0,0.0,0.0,0.0,0.3581334530029606,0.7012264700257376,0.35061314735958193,,,
sample,108.62,20.30000000000001,3.658840428230145,1.3315835101605307,0,0.0,0.0,0.0,0.3581334530029606,0.7012264700257376,0.35061314735958193,,,
sample,108.64,20.320000000000007,3.6742880488820635,1.1764508793346076,0,0.0,0.0,0.0,0.37081515124621117,0.640369594215823,0.36393593442517097,,,
sample,108.66,20.340000000000003,3.685101383338406,1.1799131437680053,0,0.0,0.0,0.0,0.3246845199711272,0.640369594215823,0.3201847170617322,,,
sample,108.68,20.360000000000014,3.688227904627986,1.2084802815177624,0,0.0,0.0,0.0,0.3246845199711272,0.6553177378878523,0.3201847170617322,,,
sample,108.7,20.38000000000001,3.6904164695306925,1.209197384039118,0,0.0,0.0,0.0,0.3301635464911413,0.6553177378878523,0.3276587870292294,,,
sample,108.714,20.394000000000005,0.0,1.209197384039118,1,0.0,0.0,0.0,0.3301635464911413,0.6553177378878523,0.3276587870292294,,,
sample,109.02,20.700000000000003,0.9,0.8501808613474635,0,0.0,0.0,0.0,0.11434474340518001,0.12539559557094027,0.27212556316874714,,,
sample,109.04,20.720000000000013,2.0250654382311675,0.12329826953662909,0,0.0,0.0,0.0,0.07226488964214803,0.028056330022224074,0.166867623719404,,,
sample,109.06,20.74000000000001,2.761810368628829,0.29687139924675615,0,0.0,0.0,0.0,0.026968913231827842,0.028056330022224074,0.060886066795118654,,,
sample,109.081,20.76100000000001,3.2961778609249732,0.2217940728726685,0,0.0,0.0,0.0,0.07447016654925916,0.09777271560731204,0.1074915941437882,,,
sample,109.1,20.78,3.658664679991884,0.2585785004126327,0,0.0,0.0,0.0,0.06771732596551691,0.13006201251405347,0.07067564891276297,,,
sample,109.12,20.80000000000001,3.9374917434200674,0.1754022096567644,0,0.0,0.0,0.0,0.06771732596551691,0.13006201251405347,0.07067564891276297,,,
sample,109.14,20.820000000000007,4.155878320530892,0.09507539877621368,0,0.0,0.0,0.0,0.04413630724958233,0.08909339495145918,0.044546686339058006,,,
sample,109.16,20.840000000000003,4.308748924508469,0.09857266999383492,0,0.0,0.0,0.0,0.02280554742699525,0.045754670956255517,0.022877329758795317,,,
sample,109.181,20.861000000000004,4.4273644759065265,0.05535946640283084,0,0.0,0.0,0.0,0.02280554742699525,0.045754670956255517,0.022877329758795317,,,
sample,109.2,20.88000000000001,4.510395361885167,0.056397678993582286,0,0.0,0.0,0.0,0.012306320874398233,0.025007871181133012,0.01250393246458339,,,
sample,109.22,20.900000000000006,4.572123817641788,0.04237685227773353,0,0.0,0.0,0.0,0.012306320874398233,0.025007871181133012,0.01250393246458339,,,
sample,109.24,20.92,4.6152068087611955,0.04325514615926745,0,0.0,0.0,0.0,0.009179660983438342,0.018744623487268797,0.009268526830839563,,,
sample,109.26,20.940000000000012,4.64536490254478,0.04353779714513822,0,0.0,0.0,0.0,0.009179660983438342,0.018744623487268797,0.009372309400557048,,,
sample,109.28,20.960000000000008,4.66560784939407,0.0470484985813199,0,0.0,0.0,0.0,0.009958382628826559,0.02016822324643286,0.010084109102189154,,,
sample,109.303,20.983000000000004,4.664084968734172,-0.1130170220024926,0,0.0,0.0,0.0,0.009958382628826559,0.02016822324643286,0.010084109102189154,,,
sample,109.321,21.001000000000005,4.663018952272243,-0.11299119099668108,0,0.0,0.0,0.0,-0.024147462534085676,-0.04846268925817654,-0.024231338571253626,,,
sample,109.34,21.02000000000001,4.667780379047148,-0.08970225853686484,0,0.0,0.0,0.0,-0.024147462534085676,-0.04846268925817654,-0.024231338571253626,,,
sample,109.36,21.040000000000006,4.671113377789581,-0.08976630986118138,0,0.0,0.0,0.0,-0.019144661842300573,-0.03843466216409297,-0.019217326277714913,,,
sample,109.38,21.060000000000002,4.684276610268763,-0.044911753449269176,0,0.0,0.0,0.0,-0.009379633043952966,-0.0191755391125934,-0.009587767159354908,,,
sample,109.4,21.080000000000013,4.693490873004191,-0.045000097654921585,0,0.0,0.0,0.0,-0.009379633043952966,-0.0191755391125934,-0.009587767159354908,,,
sample,109.42,21.10000000000001,4.472681929492052,-0.009457625814541201,0,0.0,0.0,0.0,-0.002097638089599612,-0.004229063603466088,-0.0021145312731002254,,,
sample,109.44,21.120000000000005,4.320632510459572,0.030563441847517248,0,0.0,0.0,0.0,-0.002097638089599612,0.014147673709526742,-0.0021145312731002254,,,
sample,109.46,21.14,4.219519646802973,0.029848186124906462,0,0.0,0.0,0.0,0.006996085956468943,0.014147673709526742,0.007073835086304599,,,
sample,109.48,21.16000000000001,4.144283893362704,0.06108721859283597,0,0.0,0.0,0.0,0.014558488593159712,0.029480236121118608,0.01474011437553071,,,
sample,109.5,21.180000000000007,4.094252117324927,0.06034974449162819,0,0.0,0.0,0.0,0.014558488593159712,0.029480236121118608,0.01474011437553071,,,
sample,109.521,21.201000000000008,4.0547275672810255,0.08424607114812474,0,0.0,0.0,0.0,0.014558488593159712,0.029480236121118608,0.01474011437553071,,,
sample,109.54,21.220000000000013,4.024947061024043,0.09708195251647184,0,0.0,0.0,0.0,0.020513141691388393,0.0415545019051109,0.02077724575824401,,,
sample,109.56,21.24000000000001,4.005143024363149,0.09660427802346666,0,0.0,0.0,0.0,0.023858285181140235,0.048240126051377175,0.02412005699567434,,,
sample,109.58,21.260000000000005,3.9876494332057857,0.11296630168180655,0,0.0,0.0,0.0,0.023858285181140235,0.048240126051377175,0.02412005699567434,,,
sample,109.6,21.28,3.976016195086139,0.11263674315140589,0,0.0,0.0,0.0,0.02801033935317809,0.05665810488890699,0.028329045362192155,,,
sample,109.62,21.30000000000001,3.965057698889363,0.12494021497492654,0,0.0,0.0,0.0,0.031115909078348023,0.06302064469073265,0.03151031446778771,,,
sample,109.64,21.320000000000007,3.9553261554289567,0.1341234320101582,0,0.0,0.0,0.0,0.03347789244943998,0.06781916851884517,0.03390957578202864,,,
sample,109.66,21.340000000000003,3.948854679027787,0.13390398699071113,0,0.0,0.0,0.0,0.03347789244943998,0.06781916851884517,0.03390957578202864,,,
sample,109.68,21.360000000000014,3.942570526122239,0.1418336671489307,0,0.0,0.0,0.0,0.03539603548904947,0.07194986198349618,0.035974921998017585,,,
sample,109.7,21.38000000000001,3.9383915644400496,0.14168332932838124,0,0.0,0.0,0.0,0.03539603548904947,0.07194986198349618,0.035974921998017585,,,
sample,109.72,21.400000000000006,3.9346013007876315,0.14610983268678218,0,0.0,0.0,0.0,0.03637681060907595,0.07426921207238557,0.037134596752543596,,,
sample,109.74,21.42,3.9191179606300155,0.19333271978189243,0,0.0,0.0,0.0,0.03637681060907595,0.07426921207238557,0.037134596752543596,,,
sample,109.76,21.440000000000012,3.9088215394252006,0.1928247904121863,0,0.0,0.0,0.0,0.04903487210886389,0.09866136720416208,0.04933067126941322,,,
sample,109.78,21.460000000000008,3.8895991792774107,0.24300773369653433,0,0.0,0.0,0.0,0.06127052952113437,0.12495261503711674,0.04933067126941322,,,
sample,109.8,21.480000000000004,3.8768163097791306,0.24220910741044674,0,0.0,0.0,0.0,0.06127052952113437,0.12495261503711674,0.06247629189948539,,,
sample,109.82,21.5,3.8580312841059796,0.278760190759219,0,0.0,0.0,0.0,0.06127052952113437,0.14450907207397812,0.06247629189948539,,,
sample,109.84,21.52000000000001,3.849827199123371,0.26333812792475253,0,0.0,0.0,0.0,0.06725363777059092,0.13680520196815493,0.0684025838834315,,,
