timestamp_s,elapsed_s,v_real,w_real,brake,x,y,distance_m
1780009749.5288556,0.0,0.0,0.0,0,0.0,0.0,0.0
1780006223.8302274,0.0,0.0,0.0,0,0.0,0.0,0.0
1780006223.8302274,0.0,0.0,0.0,0,0.0,0.0,0.0
1780006223.8810856,0.0,0.0,0.00820953837929837,0,0.0,0.0,0.0
1780006223.9303298,0.0,0.0,-0.042612003158298266,0,0.0,0.0,0.0
1780006223.9303298,0.0,0.0,0.0,0,0.0,0.0,0.0
1780006223.9789875,0.0,0.0,0.0,0,0.0,0.0,0.0
1780006224.02965,0.0,0.0801,0.0,0,0.0,0.0,0.0
1780006224.02965,0.0,0.0801,0.0,0,0.007938226159928168,-0.0009790485949873892,0.0079983730044
1780006224.0790825,0.0,0.0801,0.0,0,0.007938226159928168,-0.0009790485949873892,0.0079983730044
1780006224.131848,0.0,0.0801,-0.06423924843294562,0,0.009378305844271781,-0.0011848254237219929,0.009453080397831158
1780006224.131848,0.0,0.0801,0.0,0,0.016103047287886765,-0.002145741672573864,0.016246128868200004
1780006224.1803746,0.0,0.0801,0.0,0,0.016103047287886765,-0.002145741672573864,0.016246128868200004
1780006224.2311282,0.0,0.4006,-0.2629449865364762,0,0.03574812685149086,-0.005515376203933174,0.036178102878198726
1780006224.2311282,0.0,0.4006,0.0,0,0.03574812685149086,-0.005515376203933174,0.036178102878198726
1780006224.2790992,0.0,0.4006,0.0,0,0.03574812685149086,-0.005515376203933174,0.036178102878198726
1780006224.329096,0.0,0.4006,-1.1738603745310028,0,0.08865570545910999,-0.01631444107621693,0.09017654430234717
1780006224.329096,0.0,0.4006,0.0,0,0.08865570545910999,-0.01631444107621693,0.09017654430234717
1780006224.3784049,0.0,0.4006,0.0,0,0.08865570545910999,-0.01631444107621693,0.09017654430234717
1780006224.4294217,0.0,0.4807,-1.3995652931406952,0,0.14082697164021207,-0.03120621021198,0.14443155147156864
1780006224.4294217,0.0,0.4807,0.0,0,0.14082697164021207,-0.03120621021198,0.14443155147156864
1780006224.479474,0.0,0.4807,0.0,0,0.14082697164021207,-0.03120621021198,0.14443155147156864
1780006224.5298924,0.0,0.5608,-0.28965345959467964,0,0.15142541181248326,-0.035145820128733185,0.15573851659848892
1780006224.5298924,0.0,0.5608,0.0,0,0.19200573388094253,-0.050230175623253145,0.19903170682356863
1780006224.5796447,0.0,0.5608,0.0,0,0.19200573388094253,-0.050230175623253145,0.19903170682356863
1780006224.6287758,0.0,0.5608,-0.891563075325209,0,0.22145086422671326,-0.06394377229547807,0.23151367774233966
1780006224.6287758,0.0,0.5608,0.0,0,0.22145086422671326,-0.06394377229547807,0.23151367774233966
1780006224.6792533,0.0,0.5608,-0.7165367318361208,0,0.24576398852041006,-0.07526721955110624,0.2583343501923686
1780006224.7284532,0.0,0.5608,-1.4059173354224719,0,0.2884394312042934,-0.09927177933851893,0.30729772731091387
1780006224.7284532,0.0,0.5608,0.0,0,0.2884394312042934,-0.09927177933851893,0.30729772731091387
1780006224.780996,0.0,0.5608,0.0,0,0.2884394312042934,-0.09927177933851893,0.30729772731091387
1780006224.8288348,0.0,0.5608,-1.3504134112599435,0,0.3449231861567373,-0.1350933504060005,0.3741826996684649
1780006224.8288348,0.0,0.5608,0.0,0,0.3449231861567373,-0.1350933504060005,0.3741826996684649
1780006224.8787863,0.0,0.5608,0.0,0,0.3449231861567373,-0.1350933504060005,0.3741826996684649
1780006224.9311688,0.0,0.5608,-0.15162646085278375,0,0.3515546856914374,-0.13981093504293368,0.3823210281753117
1780006224.9311688,0.0,0.5608,0.0,0,0.3855808339251249,-0.16401680783555145,0.4240786986236649
1780006224.980572,0.0,0.5608,0.0,0,0.3855808339251249,-0.16401680783555145,0.4240786986236649
1780006225.0297823,0.0,0.4807,-0.28177705868770286,0,0.4093170990962013,-0.181730328968411,0.4536959084043974
1780006225.0297823,0.0,0.4807,0.0,0,0.4093170990962013,-0.181730328968411,0.4536959084043974
1780006225.0790167,0.0,0.4807,-0.18096745214452045,0,0.424568849474102,-0.19311216181721347,0.4727264630097649
1780006225.1313028,0.0,0.5608,-0.5828822535233147,0,0.46661614015190317,-0.22657263504956873,0.5264626512098658
1780006225.1313028,0.0,0.5608,0.0,0,0.46661614015190317,-0.22657263504956873,0.5264626512098658
1780006225.1815526,0.0,0.5608,0.0,0,0.46661614015190317,-0.22657263504956873,0.5264626512098658
1780006225.2294738,0.0,0.4006,3.8188681537928244,0,0.49598089619325797,-0.19182111312742484,0.5719594332199545
1780006225.2294738,0.0,0.4006,0.0,0,0.49598089619325797,-0.19182111312742484,0.5719594332199545
1780006225.2793188,0.0,0.4006,0.0,0,0.49598089619325797,-0.19182111312742484,0.5719594332199545
1780006225.3290591,0.0,0.4807,1.1819812020637692,0,0.5065414054010051,-0.17911590340681455,0.5884805321171708
1780006225.3290591,0.0,0.4807,0.0,0,0.5065414054010051,-0.17911590340681455,0.5884805321171708
1780006225.379123,0.0,0.4807,0.8258015817209581,0,0.535683350693289,-0.19104183231480354,0.6199683195233521
1780006225.4290066,0.0,0.4006,0.8503300772414206,0,0.5620018256713496,-0.19993031547534745,0.6477472190347812
1780006225.4290066,0.0,0.4006,0.0,0,0.5620018256713496,-0.19993031547534745,0.6477472190347812
1780006225.479801,0.0,0.4006,0.0,0,0.5620018256713496,-0.19993031547534745,0.6477472190347812
1780006225.5289857,0.0,0.4807,0.0,0,0.5620018256713496,-0.19993031547534745,0.6477472190347812
