row_type,timestamp_s,elapsed_s,v_real,w_real,steering_angle_rad,brake,x,y,distance_m,heading_error_rad,kappa,path_index,path_x,path_y
planned_path,,,,,,,,,,,,0,0.043418879145223244,-0.01485807914083992
planned_path,,,,,,,,,,,,1,0.0934188798902813,-0.01485807914083992
planned_path,,,,,,,,,,,,2,0.14341888063533936,-0.01485807914083992
planned_path,,,,,,,,,,,,3,0.19341888138039742,-0.01485807914083992
planned_path,,,,,,,,,,,,4,0.24341888212545548,-0.01485807914083992
planned_path,,,,,,,,,,,,5,0.29341888287051354,-0.01485807914083992
planned_path,,,,,,,,,,,,6,0.3434188836155716,-0.01485807914083992
planned_path,,,,,,,,,,,,7,0.39341888436062966,-0.01485807914083992
planned_path,,,,,,,,,,,,8,0.4434188851056877,-0.01485807914083992
planned_path,,,,,,,,,,,,9,0.4934188858507458,-0.01485807914083992
planned_path,,,,,,,,,,,,10,0.5434188865958038,-0.01485807914083992
planned_path,,,,,,,,,,,,11,0.5934188873408619,-0.01485807914083992
planned_path,,,,,,,,,,,,12,0.64341888808592,-0.01485807914083992
planned_path,,,,,,,,,,,,13,0.693418888830978,-0.01485807914083992
planned_path,,,,,,,,,,,,14,0.7434188895760361,-0.01485807914083992
planned_path,,,,,,,,,,,,15,0.7934188903210941,0.03514192160421814
planned_path,,,,,,,,,,,,16,0.8434188910661522,0.0851419223492762
planned_path,,,,,,,,,,,,17,0.8934188918112103,0.0851419223492762
planned_path,,,,,,,,,,,,18,0.9434188925562683,0.0851419223492762
planned_path,,,,,,,,,,,,19,0.9934188933013264,0.0851419223492762
planned_path,,,,,,,,,,,,20,1.0434188940463844,0.0851419223492762
planned_path,,,,,,,,,,,,21,1.0934188947914425,0.0851419223492762
planned_path,,,,,,,,,,,,22,1.1434188955365006,0.0851419223492762
planned_path,,,,,,,,,,,,23,1.1934188962815586,0.0851419223492762
planned_path,,,,,,,,,,,,24,1.2434188970266167,0.0851419223492762
planned_path,,,,,,,,,,,,25,1.2934188977716747,0.0851419223492762
planned_path,,,,,,,,,,,,26,1.3434188985167328,0.0851419223492762
