timestamp_s,elapsed_s,v_real,w_real,brake,distance_m
34.351,14.994,3.1,-1.3,1,2.1977347644217824e-23
34.437,15.079999999999998,2.025070715714869,-0.532892328564609,0,0.2107828407825834
34.548,15.191000000000003,2.031035539546585,-0.5772331432906777,0,0.4538771861884258
34.636,15.279000000000003,1.8456484381668201,-1.0471975511965976,0,0.5917827487246029
34.733,15.375999999999998,1.861247249023893,-0.5779140493492682,0,0.7863343133840524
34.838,15.481000000000002,1.892500862355332,-0.3984933201630471,0,0.9756458225147806
34.95,15.593000000000004,1.9284875736305267,-0.3292362778604588,0,1.2319608222997116
35.049,15.692,1.9645500984739543,-0.2152765301656458,0,1.3618735945453813
35.154,15.797000000000004,2.015589978998959,-0.04178013649597459,0,1.627825492283347
35.24,15.883000000000003,2.4800000000000004,-1.1700000000000002,0,1.7631500999672727
35.347,15.990000000000002,2.4800000000000004,-1.1700000000000002,0,2.00030903420113
35.431,16.073999999999998,2.4800000000000004,-1.1700000000000002,0,2.2532523553693
35.551,16.194000000000003,2.4800000000000004,-1.1700000000000002,0,2.506195676537449
35.639,16.282000000000004,2.4800000000000004,-1.1700000000000002,0,2.7591389977056107
35.751,16.394,2.4800000000000004,-1.1700000000000002,0,3.0120823188737758
35.832,16.475,2.4800000000000004,-1.1700000000000002,0,3.265025640041797
35.95,16.593000000000004,2.332298521336935,-1.0471975511965976,0,3.517968961209907
36.028,16.671,2.567605510003779,1.0471975511965976,0,3.6815773627699544
36.159,16.802,2.8714626450483913,1.0471975511965976,0,4.0227532524862415
36.243,16.886000000000003,2.4800000000000004,-1.1700000000000002,0,4.305296374831609
36.341,16.984,2.4800000000000004,-1.1700000000000002,0,4.487235388318669
36.428,17.070999999999998,2.4800000000000004,-1.1700000000000002,0,4.74017870949193
36.539,17.182000000000002,2.3499563244459543,-1.0471975511965976,0,4.99312203066002
36.646,17.289,2.30506497526297,-0.8333957731104952,0,5.317119355326255
36.747,17.39,2.282849252617911,-0.6726774289859127,0,5.475383237351637
36.837,17.480000000000004,2.269044280110686,-0.6092184482214802,0,5.708983190377548
36.949,17.592,2.263350868169655,-0.5214512081557797,0,5.9408906259053635
37.057,17.700000000000003,2.2723769498342676,-0.38125185499611014,0,6.171942595437293
37.145,17.788000000000004,2.2882431856704875,-0.29592464163061716,0,6.40341606770468
37.238,17.881,2.31001882081165,-0.21804868747672765,0,6.636276223240071
37.341,17.984,2.340064804097885,-0.14763721202061947,0,6.871157083327883
37.434,18.076999999999998,2.3696843450760805,-0.10954422795928143,0,7.108821782839474
37.538,18.180999999999997,2.4091370556079994,-0.03855211446091755,0,7.349522344825824
37.626,18.269,2.4392541167902952,-0.04581293556738625,0,7.512002219913745
37.74,18.383000000000003,2.491320691045485,0.07139934008329174,0,7.842716768495116
37.838,18.481,2.5257258858104428,-0.0062201462735625435,0,8.095061165315938
37.939,18.582,2.5664859844787706,0.061153096467773005,0,8.35151540776732
38.039,18.682000000000002,2.608468695493668,0.08906452644104434,0,8.611911103070051
38.146,18.789,2.651783950946158,0.14312023312676447,0,8.87654741417998
38.235,18.878,2.6195543150754395,-0.447494406517291,0,9.055395881205841
38.336,18.979,2.4800000000000004,-1.1700000000000002,0,9.32368442171216
38.432,19.075000000000003,2.68994131665126,-1.0471975511965976,0,9.581377290088827
38.53,19.173000000000002,2.7147802878028306,0.13564547242467628,0,9.848598078291058
38.635,19.278,2.7004364141304187,-0.3036383770363555,0,10.124656148053969
38.741,19.384,2.5952077527849737,-1.0471975511965976,0,10.400587456568607
38.845,19.488,2.517440117203707,-0.9522642740130849,0,10.66886669261537
38.944,19.587000000000003,2.479534350716892,-0.6654934943430991,0,10.928277546414652
39.034,19.677,2.4606126720080654,-0.5314769836934476,0,11.182471510871313
39.128,19.771,2.4481754332255803,-0.47145752141159447,0,11.43409326547146
39.242,19.884999999999998,2.4470795940853827,-0.3636133676946503,0,11.684227105076173
39.338,19.981,2.457688998824388,-0.25238131209125,0,11.933864531199239
39.442,20.085,2.4754688381165373,-0.18843414825736968,0,12.184187046575213
39.533,20.176000000000002,2.4940020498622086,-0.14283276686110852,0,12.351914012610832
39.637,20.28,2.5232117820669333,-0.07405414746544198,0,12.690467768059111
39.748,20.391,2.5509579066765427,-0.06242402735592481,0,12.946842110127779
39.83,20.473,2.576159883346797,-0.03569464074909315,0,13.1193638404968
39.933,20.576,2.612734603578286,0.04004621338028258,0,13.381275254198576
40.042,20.685000000000002,2.6469339265982352,0.02207043825806121,0,13.646530624010726
40.14,20.783,2.6744966590710484,0.045093434127785055,0,13.915355096288348
40.249,20.892000000000003,2.709306709584675,0.12598693674999412,0,14.278149479962593
40.331,20.974000000000004,2.730623553468321,0.12444335302778733,0,14.461198715049308
40.438,21.081000000000003,2.764290114944179,0.21699470850109656,0,14.738997335708866
40.526,21.169000000000004,2.7795857522102914,0.14829103611707672,0,15.019809768594625
40.637,21.28,2.771098050365435,-0.03584424563104763,0,15.302807050116582
40.74,21.383000000000003,2.7441029270481607,-0.17401884430409645,0,15.585747521181396
40.837,21.480000000000004,2.759930712645571,0.1840439665086524,0,15.866563575755551
40.946,21.589,2.744371958872677,-0.0032710630802217366,0,16.147537921279934
41.044,21.686999999999998,2.643164653246174,-0.7070140223391878,0,16.427992705347553
41.138,21.781,2.5693899804181215,-0.6148547694641284,0,16.701032220701602
41.229,21.872,2.536607921784149,-0.203149216540509,0,16.878255323674658
41.328,21.971000000000004,2.5227873146168376,0.1470132953551283,0,17.13810198791706
41.449,22.092,2.517656623092481,0.39318274056978214,0,17.481670523819165
