timestamp_s,elapsed_s,v_real,w_real,brake,x,y,distance_m
22.987000000000002,22.133000000000003,2.0,-5.14,0,0.0,0.0,0.0
22.992,22.138,2.2,-0.289690824970603,0,0.0,0.0,0.0
23.016,22.162,2.2,-0.289690824970603,0,-18.439999802946407,4.29024745307162,0.0
23.019,22.165,2.2,-0.289690824970603,0,-18.439999802946407,4.29024745307162,0.0
23.019,22.165,2.2,-0.289690824970603,0,-18.439999802946407,4.29024745307162,0.0
23.037,22.183,2.2,-0.289690824970603,0,-18.439996414606952,4.2902782747492445,3.100736454195742e-05
23.046,22.192,2.2,-0.289690824970603,0,-18.439963661255366,4.2926354493179115,0.002388409478991399
23.056,22.202,2.2,-0.289690824970603,0,-18.439963661255366,4.2926354493179115,0.002388409478991399
23.065,22.211000000000002,2.2,-0.289690824970603,0,-18.43993143801611,4.296547823189127,0.006300916047077585
23.073,22.219,2.2,-0.289690824970603,0,-18.43993143801611,4.296547823189127,0.006300916047077585
23.082,22.228,2.2,-0.289690824970603,0,-18.439890123111226,4.304352151821543,0.014105354036075143
23.087,22.233,2.2,-0.289690824970603,0,-18.439890123111226,4.304352151821543,0.014105354036075143
23.095,22.241,2.2,-0.289690824970603,0,-18.439890123111226,4.304352151821543,0.014105354036075143
23.103,22.249000000000002,2.2,-0.289690824970603,0,-18.4398430404232,4.3160760515623995,0.025829348317597776
23.112,22.258,2.2,-0.289690824970603,0,-18.4398430404232,4.3160760515623995,0.025829348317597776
23.117,22.263,2.2,-0.289690824970603,0,-18.4398430404232,4.3160760515623995,0.025829348317597776
23.122,22.268,2.2,-0.289690824970603,0,-18.439788665043498,4.331719606535898,0.04147299779240944
23.122,22.268,2.2,-0.289690824970603,0,-18.439788665043498,4.331719606535898,0.04147299779240944
23.145,22.291,2.2,-0.289690824970603,0,-18.439725237627865,4.351282873956333,0.061036368033769654
23.153,22.299,2.2,-0.289690824970603,0,-18.439725237627865,4.351282873956333,0.061036368033769654
23.162,22.308,2.2,-0.289690824970603,0,-18.439650707472353,4.374765900622191,0.08451951297079763
23.17,22.316000000000003,2.2,-0.289690824970603,0,-18.439650707472353,4.374765900622191,0.08451951297079763
23.176,22.322,2.2,-0.289690824970603,0,-18.439650707472353,4.374765900622191,0.08451951297079763
23.186,22.332,2.2,-0.289690824970603,0,-18.439562665963663,4.402168724814367,0.11192247859524365
23.195,22.341,2.2,-0.289690824970603,0,-18.439562665963663,4.402168724814367,0.11192247859524365
23.205,22.351,2.2,-0.289690824970603,0,-18.439458268411748,4.433491377849284,0.14324530560678025
23.214,22.36,2.2,-0.289690824970603,0,-18.439458268411748,4.433491377849284,0.14324530560678025
23.219,22.365000000000002,2.2,-0.289690824970603,0,-18.439458268411748,4.433491377849284,0.14324530560678025
23.234,22.380000000000003,2.2,-0.31940266247838733,0,-18.439334141693198,4.468733885349937,0.17848803169849736
23.242,22.388,2.2,-0.31940266247838733,0,-18.439186274660074,4.5078962682866965,0.21765069378810636
23.251,22.397000000000002,2.2,-0.31940266247838733,0,-18.439186274660074,4.5078962682866965,0.21765069378810636
23.261,22.407,2.2,-0.31940266247838733,0,-18.438996047108333,4.550747264750698,0.2605021124866666
23.271,22.417,2.2,-0.31940266247838733,0,-18.438996047108333,4.550747264750698,0.2605021124866666
23.281,22.427,2.2,-0.31940266247838733,0,-18.438587107881943,4.5947456096470045,0.3045023577689967
23.291,22.437,2.2,-0.31940266247838733,0,-18.438587107881943,4.5947456096470045,0.3045023577689967
23.304,22.45,2.2,-0.31940266247838733,0,-18.437897021184924,4.638742581583966,0.3485047413325168
23.311,22.457,2.2,-0.31940266247838733,0,-18.437897021184924,4.638742581583966,0.3485047413325168
23.32,22.466,2.2,-0.31940266247838733,0,-18.437897021184924,4.638742581583966,0.3485047413325168
23.333,22.479,2.2,-0.31940266247838733,0,-18.43692580005704,4.682736347671062,0.39250922661533083
23.336,22.482,2.2,-0.31940266247838733,0,-18.43692580005704,4.682736347671062,0.39250922661533083
23.346,22.492,2.2,-0.31940266247838733,0,-18.435673467611274,4.726725083775047,0.4365157856785068
23.356,22.502000000000002,2.2,-0.31940266247838733,0,-18.435673467611274,4.726725083775047,0.4365157856785068
23.363,22.509,2.2,-0.31940266247838733,0,-18.43414005719698,4.770706973263673,0.48052439790939094
23.375,22.521,2.2,-0.31940266247838733,0,-18.43414005719698,4.770706973263673,0.48052439790939094
23.384,22.53,2.2,-0.31940266247838733,0,-18.432325612532907,4.81468020599335,0.5245350489627132
23.393,22.539,2.2,-0.31940266247838733,0,-18.432325612532907,4.81468020599335,0.5245350489627132
23.403,22.549,2.2,-0.31940266247838733,0,-18.430230187814118,4.8586429774962685,0.5685477298963938
23.412,22.558,2.2,-0.31940266247838733,0,-18.430230187814118,4.8586429774962685,0.5685477298963938
23.42,22.566000000000003,2.2,-0.31940266247838733,0,-18.430230187814118,4.8586429774962685,0.5685477298963938
23.42,22.566000000000003,2.2,-0.31940266247838733,0,-18.430230187814118,4.8586429774962685,0.5685477298963938
23.434,22.580000000000002,2.2,-0.31940266247838733,0,-18.4278538477964,4.9025934883306315,0.6125624364668263
23.445,22.591,2.2,-0.30454674372449514,0,-18.42519666786128,4.946529943564275,0.6565791685548124
23.456,22.602,2.2,-0.30454674372449514,0,-18.42519666786128,4.946529943564275,0.6565791685548124
23.465,22.611,2.2,-0.30454674372449514,0,-18.42225873406431,4.99045055236739,0.7005979296985755
23.472,22.618000000000002,2.2,-0.30454674372449514,0,-18.42225873406431,4.99045055236739,0.7005979296985755
